epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
21,2020-05-22,26,AM,Borba,1300805,city,172,417.87129,0,10,1,0.0581,41161,False,False
21,2020-05-22,29,AM,Caapiranga,1300839,city,57,435.7465,2,1,0,0.0175,13081,False,False
21,2020-05-22,34,AM,Canutama,1300904,city,26,166.35741,1,0,0,0.0,15629,False,False
21,2020-05-22,37,AM,Carauari,1301001,city,171,604.36842,0,2,0,0.0117,28294,False,False
21,2020-05-22,42,AM,Careiro,1301100,city,418,1103.80522,0,6,0,0.0144,37869,False,False
21,2020-05-22,53,AM,Careiro da Várzea,1301159,city,44,145.57486,2,1,0,0.0227,30225,False,False
21,2020-05-22,36,AM,Coari,1301209,city,1040,1222.13474,117,37,0,0.0356,85097,False,False
21,2020-05-22,29,AM,Codajás,1301308,city,40,139.67944,4,1,0,0.025,28637,False,False
21,2020-05-22,22,AM,Eirunepé,1301407,city,61,172.93681,11,0,0,0.0,35273,False,False
21,2020-05-22,29,AM,Fonte Boa,1301605,city,146,829.12147,21,5,0,0.0342,17609,False,False
21,2020-05-22,9,AM,Guajará,1301654,city,13,77.947,0,1,0,0.0769,16678,False,False
21,2020-05-22,27,AM,Humaitá,1301704,city,35,63.54394,1,1,0,0.0286,55080,False,False
21,2020-05-22,48,AM,Iranduba,1301852,city,409,846.86102,21,23,0,0.0562,48296,False,False
21,2020-05-22,55,AM,Itacoatiara,1301902,city,522,515.11294,25,38,0,0.0728,101337,False,False
21,2020-05-22,10,AM,Itamarati,1301951,city,4,50.94892,0,0,0,0.0,7851,False,False
21,2020-05-22,27,AM,Itapiranga,1302009,city,203,2219.06428,0,3,0,0.0148,9148,False,False
21,2020-05-22,12,AM,Japurá,1302108,city,32,1161.5245,15,0,0,0.0,2755,False,False
21,2020-05-22,34,AM,Juruá,1302207,city,5,33.98586,0,0,0,0.0,14712,False,False
21,2020-05-22,47,AM,Jutaí,1302306,city,59,412.09751,0,6,0,0.1017,14317,False,False
21,2020-05-22,39,AM,Lábrea,1302405,city,44,95.50891,6,0,0,0.0,46069,False,False
21,2020-05-22,57,AM,Manacapuru,1302504,city,1788,1836.16254,85,77,1,0.0431,97377,False,False
21,2020-05-22,30,AM,Manaquiri,1302553,city,89,277.21539,5,6,0,0.0674,32105,False,False
21,2020-05-22,71,AM,Manaus,1302603,city,12967,594.06358,650,1127,33,0.0869,2182763,False,False
21,2020-05-22,45,AM,Manicoré,1302702,city,37,66.36652,1,2,0,0.0541,55751,False,False
21,2020-05-22,31,AM,Maraã,1302801,city,69,378.6216,7,1,0,0.0145,18224,False,False
21,2020-05-22,43,AM,Maués,1302900,city,467,730.77224,65,24,1,0.0514,63905,False,False
21,2020-05-22,30,AM,Nhamundá,1303007,city,36,170.02787,0,1,0,0.0278,21173,False,False
21,2020-05-22,31,AM,Nova Olinda do Norte,1303106,city,65,173.89909,3,4,1,0.0615,37378,False,False
21,2020-05-22,54,AM,Novo Airão,1303205,city,90,462.62979,7,4,0,0.0444,19454,False,False
21,2020-05-22,29,AM,Novo Aripuanã,1303304,city,119,464.04617,9,5,1,0.042,25644,False,False
21,2020-05-22,62,AM,Parintins,1303403,city,837,732.45649,43,45,0,0.0538,114273,False,False
21,2020-05-22,13,AM,Pauini,1303502,city,5,25.7387,0,0,0,0.0,19426,False,False
